Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Albania,41.1533,20.1683,9/15/20,6668,ALB,150,39,
,Albania,41.1533,20.1683,9/14/20,6615,ALB,150,39,
,Albania,41.1533,20.1683,9/13/20,6569,ALB,150,39,
,Albania,41.1533,20.1683,9/12/20,6494,ALB,150,39,
,Albania,41.1533,20.1683,9/11/20,6443,ALB,150,39,
,Albania,41.1533,20.1683,9/10/20,6346,ALB,150,39,
,Albania,41.1533,20.1683,9/9/20,6284,ALB,150,39,
,Albania,41.1533,20.1683,9/8/20,6239,ALB,150,39,
,Albania,41.1533,20.1683,9/7/20,6186,ALB,150,39,
,Albania,41.1533,20.1683,9/6/20,6106,ALB,150,39,
,Albania,41.1533,20.1683,9/5/20,5976,ALB,150,39,
,Albania,41.1533,20.1683,9/4/20,5882,ALB,150,39,
,Albania,41.1533,20.1683,9/3/20,5732,ALB,150,39,
,Albania,41.1533,20.1683,9/2/20,5582,ALB,150,39,
,Albania,41.1533,20.1683,9/1/20,5441,ALB,150,39,
,Albania,41.1533,20.1683,8/31/20,5214,ALB,150,39,
,Albania,41.1533,20.1683,8/30/20,5139,ALB,150,39,
,Albania,41.1533,20.1683,8/29/20,5020,ALB,150,39,
,Albania,41.1533,20.1683,8/28/20,4923,ALB,150,39,
,Albania,41.1533,20.1683,8/27/20,4791,ALB,150,39,
,Albania,41.1533,20.1683,8/26/20,4633,ALB,150,39,
,Albania,41.1533,20.1683,8/25/20,4530,ALB,150,39,
,Albania,41.1533,20.1683,8/24/20,4413,ALB,150,39,
,Albania,41.1533,20.1683,8/23/20,4332,ALB,150,39,
,Albania,41.1533,20.1683,8/22/20,4184,ALB,150,39,
,Albania,41.1533,20.1683,8/21/20,4096,ALB,150,39,
,Albania,41.1533,20.1683,8/20/20,3986,ALB,150,39,
,Albania,41.1533,20.1683,8/19/20,3928,ALB,150,39,
,Albania,41.1533,20.1683,8/18/20,3871,ALB,150,39,
,Albania,41.1533,20.1683,8/17/20,3816,ALB,150,39,
,Albania,41.1533,20.1683,8/16/20,3794,ALB,150,39,
,Albania,41.1533,20.1683,8/15/20,3746,ALB,150,39,
,Albania,41.1533,20.1683,8/14/20,3695,ALB,150,39,
,Albania,41.1533,20.1683,8/13/20,3616,ALB,150,39,
,Albania,41.1533,20.1683,8/12/20,3552,ALB,150,39,
,Albania,41.1533,20.1683,8/11/20,3480,ALB,150,39,
,Albania,41.1533,20.1683,8/10/20,3379,ALB,150,39,
,Albania,41.1533,20.1683,8/9/20,3342,ALB,150,39,
,Albania,41.1533,20.1683,8/8/20,3268,ALB,150,39,
,Albania,41.1533,20.1683,8/7/20,3227,ALB,150,39,
,Albania,41.1533,20.1683,8/6/20,3155,ALB,150,39,
,Albania,41.1533,20.1683,8/5/20,3123,ALB,150,39,
,Albania,41.1533,20.1683,8/4/20,3031,ALB,150,39,
,Albania,41.1533,20.1683,8/3/20,3031,ALB,150,39,
,Albania,41.1533,20.1683,8/2/20,3018,ALB,150,39,
,Albania,41.1533,20.1683,8/1/20,2961,ALB,150,39,
,Albania,41.1533,20.1683,7/31/20,2952,ALB,150,39,
,Albania,41.1533,20.1683,7/30/20,2883,ALB,150,39,
,Albania,41.1533,20.1683,7/29/20,2830,ALB,150,39,
,Albania,41.1533,20.1683,7/28/20,2789,ALB,150,39,
,Albania,41.1533,20.1683,7/27/20,2745,ALB,150,39,
